,block,CRSDepTime_min,CRSElapsedTime,DayOfWeek,Distance,Month,Year,dest_lat,dest_long,origin_lat,origin_long,FDDS,block_group
2845,2845.0,3957644.776020992,100173.84708515607,37.79726436967819,56530235.15105471,180.0225241498947,18.175427373567057,110.61660036067329,25740.845157607993,1312.5216114585573,7411.4178695988285,32241199.10156425,569
2846,2846.0,2483804.801965062,682667.5717722757,66.05716884986029,34238627.81119656,299.09435373690053,11.773931476268432,160.8195535456463,25394.209627236818,1179.91059553486,3231.1685189149534,19528336.028376505,569
2847,2847.0,918774.1216705323,227031.80018346905,164.06559512448376,18951977.7029045,128.34825768236277,17.65134592333206,6.202543367885411,13558.28214361882,1305.278218969861,1457.152552619415,10809405.844675569,569
2848,2848.0,2271146.6258644736,221282.60737295644,49.621210199357236,31690882.601648144,341.20758458522295,17.61123693943457,101.18318569714582,5173.121806091894,839.0185351201662,5093.846442072254,18073656.3690403,569
2849,2849.0,1385592.4282473098,493851.6624078414,29.03049735274069,36436486.67189091,40.82014199683165,17.753011643511805,16.170876897414548,38352.47399136714,2102.7670464139874,3811.643692749413,20782865.64200676,569
2850,2850.0,1172282.0293625835,145189.0223216251,14.961677992426088,33801230.91072351,136.3339164952145,17.424299789469792,51.22690286313903,16673.27746525166,2863.0074524160204,2857.5266946983957,19278152.758900225,570
2851,2851.0,4192931.039687194,889514.5800910864,94.89768264239422,48018677.05414726,499.99941020974165,13.247846532772336,187.70356462497026,29677.505379412523,2973.763703385919,75.04945182210245,27387410.538397696,570
2852,2852.0,421465.5683758386,166464.1198957956,30.30341786687624,30995518.625884753,132.07623969348634,12.206375572600109,42.01134763057368,34382.23853007572,1236.2029859934635,2477.9235075372876,17679559.079222124,570
2853,2853.0,259960.28422937097,327557.1853135645,77.01412142483468,38983497.087907925,256.23519889558673,15.82292385284411,22.26541139276251,32637.66446821228,2125.4798955438728,1512.1189870596872,22234927.649228424,570
2854,2854.0,2258405.3168938495,149800.17313055342,81.70356232750301,11380202.089470435,74.84126915853533,8.153530052554647,55.14183781741923,3302.6904679633963,2976.382990115051,4589.162778121371,6490388.399645589,570
2855,2855.0,471675.8826607266,819999.3064313624,73.09604753856507,42129275.61190522,609.8296341157422,13.753806119643853,189.64748991909846,17042.774773179517,2210.7477243006233,26.901568592198714,24027634.055166434,571
2856,2856.0,167506.41096863034,289447.4744247303,75.45147318378721,16042865.974456593,107.84073899403701,8.153153934587749,136.35197656443535,19763.138263547917,1480.6632388518585,3846.409279873287,9150880.887201717,571
2857,2857.0,1899951.6909025062,403507.4735108802,36.83948295278287,28694886.220714405,18.102858151132864,24.42299931069736,97.85302946723424,19685.380954093343,1484.434086472523,3924.3018767759477,16366280.494138377,571
2858,2858.0,1947356.6350225876,624347.6615952912,46.95458387267927,13786184.501500672,79.87009460879432,4.717917158037396,61.66181612571182,7438.532527586987,3200.2664649264693,2356.27841192332,7862856.858990784,571
2859,2859.0,688385.5277405811,737127.3334482957,37.30084408294212,13447358.08045515,654.4788841764221,17.44317378452155,76.34417045646587,16933.21613360541,1029.5523063706212,2002.5786905361872,7670428.676079645,571
2860,2860.0,2168091.5745289316,758591.514367013,25.981922729903264,4550287.664533845,250.53339193275914,16.56512726014519,175.5647309839602,26821.6496090702,1338.3544390619275,1113.5363342080168,2597299.885721876,572
2861,2861.0,960312.867396829,697975.1467543208,21.694976149188523,17790081.43707899,521.2480679418879,9.664824892964763,13.57209009765371,20217.524236504934,1554.5012128138528,2163.4676901383723,10147343.806696793,572
2862,2862.0,7194676.76414877,524792.9200313488,88.69855187183248,9236565.330913434,91.52465837034207,15.061978277263051,103.32445949600327,44901.07607668165,2474.0956877890862,10548.528293566686,5271418.144080762,572
2863,2863.0,1685201.3109857945,1153598.8705583154,62.6700429042113,10356510.240594558,225.70696927848257,19.85459566601553,129.84667751256347,31348.583915440617,1292.6723323910148,829.098356866293,5908950.65464676,572
2864,2864.0,1641830.4192794855,693269.8566855869,95.63165212910194,44479753.347079165,65.94500392271333,19.176754036206702,33.428067075814106,13040.241560728968,2019.1654738689715,1175.4668336450427,25367763.547913205,572
2865,2865.0,1163416.9093546546,322469.9711857999,15.870640499278945,34667819.968998075,94.0457868761722,17.61864504541124,60.42527727490538,37023.92202455429,2712.3363271054104,185.7672802733591,19774083.78719257,573
2866,2866.0,633574.1167956842,595029.786317972,168.40482216766785,24437335.023669597,277.0065372558395,7.387381645107222,79.32500921344835,36858.427184081476,2167.97619392822,978.3194841602096,13939658.916750457,573
2867,2867.0,1640536.8288196926,101721.63787414768,125.3125851360367,37394013.13795704,607.6204637183545,15.957284642214455,174.028561385936,36436.79546360948,3398.8942863206094,1767.513752524189,21328779.93201642,573
2868,2868.0,963240.7290116868,48792.36334436465,29.42134510944907,30943605.262466047,369.55016102151774,2.259011219253253,71.71409980461473,33663.57117228687,2103.0843371044875,3281.800873529918,17649893.36287763,573
2869,2869.0,1185183.8300956697,360851.51926401415,46.42826911262811,19790491.569386862,54.69316175993269,13.433361829753173,69.11428393793891,11155.630728423805,2208.0624540217154,9989.208644563922,11287423.06079744,573
